(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 912.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 918.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 924.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 930.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 936.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 942.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_PYR_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 948.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 954.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 960.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 966.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 972.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 978.00, Rho = -1.230
